Time,No Protein,No NADH,10 nM,20 nM,100 nM,200 nM,400 nM,600 nM,800 nM,1000 nM,1200 nM,1400 nM
0,0.49375,0.11525,0.49125,0.49525,0.4665,0.44175,0.40525,0.36825,0.32525,0.30325,0.285,0.24575
1,0.4865,0.1185,0.491,0.49325,0.45675,0.4305,0.40075,0.359,0.31425,0.2955,0.27175,0.23025
2,0.484,0.118,0.49025,0.4915,0.4505,0.429,0.40075,0.35175,0.308,0.284,0.264,0.23175
3,0.481,0.1195,0.488,0.48775,0.4445,0.43225,0.39725,0.34425,0.29575,0.27575,0.2715,0.20175
4,0.48025,0.1205,0.48875,0.4865,0.44275,0.42225,0.39625,0.33675,0.28575,0.26025,0.2585,0.2015
5,0.4795,0.12125,0.48825,0.486,0.44225,0.421,0.38775,0.331,0.2785,0.261,0.2525,0.1885
6,0.4795,0.121,0.48475,0.48525,0.44,0.41875,0.38275,0.32375,0.27025,0.25375,0.2405,0.178
7,0.4805,0.1205,0.48275,0.48375,0.4395,0.4185,0.377,0.31825,0.26225,0.2415,0.217,0.15925
8,0.47775,0.11925,0.4825,0.483,0.43825,0.41725,0.37125,0.312,0.262,0.233,0.206,0.1595
9,0.47825,0.12025,0.48175,0.4825,0.43825,0.417,0.368,0.308,0.25225,0.23375,0.204,0.14475
10,0.4765,0.118,0.4795,0.482,0.43675,0.415,0.36275,0.302,0.2445,0.2225,0.204,0.14575
11,0.47575,0.11925,0.47925,0.48025,0.4345,0.41325,0.3595,0.29825,0.23575,0.23325,0.20425,0.1365
12,0.47475,0.11825,0.47875,0.47975,0.4345,0.41275,0.358,0.2925,0.22825,0.2145,0.18725,0.12975
13,0.47225,0.1175,0.47575,0.47775,0.43125,0.40925,0.35475,0.28825,0.22175,0.22175,0.16325,0.12575
14,0.47575,0.11975,0.476,0.472,0.42975,0.40875,0.3545,0.2855,0.21725,0.195,0.18275,0.11575
15,0.47225,0.11775,0.475,0.47725,0.42975,0.40725,0.3475,0.2785,0.2105,0.19275,0.146,0.12
16,0.47625,0.118,0.47125,0.4755,0.428,0.40675,0.3455,0.27475,0.20525,0.1765,0.17125,0.1165
17,0.4725,0.11825,0.47175,0.4705,0.42625,0.40425,0.3435,0.271,0.2,0.17325,0.15975,0.1305
18,0.474,0.118,0.4735,0.4735,0.4265,0.40175,0.33875,0.266,0.1935,0.173,0.13925,0.1165
19,0.4715,0.11875,0.468,0.4715,0.4245,0.4,0.33625,0.26175,0.19025,0.16975,0.1405,0.11725
20,0.4725,0.11675,0.472,0.46275,0.42325,0.4,0.33175,0.2565,0.1835,0.15825,0.16375,0.117
21,0.4715,0.1185,0.46675,0.47,0.42275,0.3975,0.331,0.25425,0.18075,0.1665,0.16725,0.127
22,0.47275,0.1195,0.46875,0.46875,0.4235,0.39775,0.32675,0.24925,0.1765,0.15375,0.1365,0.12225
23,0.4695,0.1185,0.4725,0.46975,0.42275,0.39575,0.32475,0.24475,0.17225,0.1535,0.14575,0.11975
24,0.46925,0.11875,0.4695,0.4645,0.42175,0.395,0.32275,0.2395,0.17025,0.14725,0.14525,0.11575
25,0.4685,0.12,0.47025,0.45825,0.41975,0.39325,0.32025,0.2365,0.1665,0.15825,0.15475,0.11625
26,0.4715,0.1205,0.46925,0.4665,0.42025,0.39225,0.31625,0.23475,0.16225,0.17075,0.142,0.12025
27,0.46875,0.11775,0.46775,0.467,0.418,0.38825,0.31425,0.23,0.15875,0.1765,0.13875,0.12
28,0.46875,0.11775,0.47175,0.46475,0.4195,0.389,0.314,0.227,0.1575,0.17975,0.1465,0.1245
29,0.464,0.1185,0.46625,0.45475,0.4175,0.38675,0.311,0.2225,0.15525,0.18025,0.16475,0.13125
30,0.464,0.11825,0.47125,0.46525,0.4175,0.386,0.31025,0.2205,0.15375,0.17025,0.1705,0.1285
31,0.4645,0.1195,0.47,0.46725,0.41625,0.38425,0.307,0.217,0.151,0.16225,0.1455,0.1395
32,0.4635,0.12,0.47125,0.4655,0.4155,0.38325,0.309,0.21475,0.15,0.16775,0.1715,0.13025
33,0.46175,0.1215,0.47225,0.46275,0.4165,0.3835,0.302,0.21175,0.148,0.15775,0.15125,0.14025
34,0.46325,0.1205,0.4695,0.46275,0.41425,0.38025,0.29825,0.2085,0.14725,0.153,0.165,0.1225
35,0.4635,0.12125,0.46975,0.454,0.4145,0.38025,0.29725,0.20675,0.1465,0.15875,0.154,0.1225
36,0.4645,0.1195,0.47175,0.45925,0.416,0.37925,0.29275,0.2035,0.145,0.14975,0.14525,0.1375
37,0.4615,0.11925,0.46775,0.466,0.41475,0.37875,0.29125,0.20125,0.14525,0.14825,0.1455,0.12625
38,0.46125,0.1195,0.47075,0.4615,0.4135,0.37725,0.28925,0.19775,0.1455,0.14625,0.161,0.14375
39,0.4645,0.119,0.466,0.46325,0.41425,0.3755,0.2845,0.194,0.1445,0.1475,0.16675,0.131
40,0.4625,0.12,0.4705,0.46,0.4125,0.3755,0.28225,0.192,0.1455,0.14875,0.1765,0.13525
41,0.46475,0.1215,0.4695,0.45175,0.411,0.373,0.2825,0.1905,0.14675,0.14725,0.1535,0.1315
42,0.468,0.1205,0.46925,0.46425,0.41225,0.374,0.27825,0.18875,0.147,0.14925,0.14775,0.145
43,0.46275,0.11975,0.47075,0.45875,0.40925,0.3705,0.276,0.18525,0.14675,0.163,0.157,0.13575
44,0.47,0.12125,0.46975,0.4645,0.411,0.37175,0.2755,0.18325,0.14675,0.1645,0.16575,0.129
45,0.466,0.122,0.4705,0.46125,0.4095,0.3695,0.27275,0.182,0.14575,0.159,0.1585,0.134
46,0.46925,0.12,0.46425,0.44475,0.40875,0.36825,0.26975,0.18,0.145,0.14975,0.15475,0.126
47,0.46725,0.11875,0.46925,0.46175,0.4085,0.36825,0.2655,0.177,0.14375,0.15125,0.1645,0.1325
48,0.46775,0.11775,0.4715,0.4615,0.409,0.3675,0.2635,0.17475,0.1445,0.16475,0.1725,0.13925
49,0.46575,0.11775,0.47,0.4565,0.408,0.36575,0.2615,0.1725,0.14325,0.165,0.15625,0.12
50,0.46825,0.11875,0.465,0.459,0.40575,0.3635,0.25825,0.17125,0.14425,0.1535,0.168,0.12325
51,0.466,0.1195,0.468,0.45925,0.406,0.36325,0.2575,0.16975,0.1445,0.1555,0.158,0.13675
52,0.46725,0.118,0.469,0.45625,0.406,0.36225,0.25525,0.1675,0.1445,0.15675,0.14875,0.13
53,0.46175,0.11925,0.46525,0.4615,0.40525,0.361,0.254,0.1675,0.14675,0.16875,0.15025,0.12325
54,0.46525,0.1185,0.46875,0.45925,0.40425,0.3595,0.25275,0.16425,0.1455,0.174,0.1435,0.122
55,0.46575,0.1175,0.47,0.462,0.40575,0.36025,0.25075,0.16375,0.14625,0.161,0.147,0.121
56,0.468,0.1175,0.46475,0.45925,0.405,0.35825,0.25025,0.1635,0.1455,0.1555,0.14925,0.127
57,0.46375,0.1175,0.4675,0.45875,0.40375,0.357,0.24725,0.1625,0.145,0.157,0.1455,0.122
58,0.46825,0.1165,0.467,0.454,0.402,0.3565,0.249,0.16075,0.14475,0.15025,0.14575,0.1225
59,0.46525,0.1175,0.469,0.448,0.40375,0.357,0.24675,0.161,0.1465,0.15125,0.1565,0.124
