Time,No Protein,No NADH,25 C,30 C,37 C,40 C,45 C,50 C,55 C,60 C,65 C,70 C,80 C
0,0.482333333,0.117,0.313333333,0.304333333,0.291333333,0.275,0.501333333,0.459333333,0.473,0.508666667,0.445666667,0.472666667,0.470666667
1,0.48,0.121333333,0.303666667,0.294,0.281,0.263,0.497333333,0.460333333,0.467666667,0.500666667,0.44,0.47,0.466333333
2,0.477,0.119666667,0.295666667,0.285333333,0.273666667,0.256333333,0.492333333,0.445333333,0.466,0.501333333,0.439666667,0.466333333,0.464666667
3,0.476,0.119,0.288,0.277333333,0.267333333,0.248333333,0.487333333,0.447,0.462,0.497,0.436666667,0.46,0.466
4,0.477,0.120333333,0.279666667,0.269333333,0.259,0.240666667,0.480666667,0.442666667,0.456,0.488333333,0.426333333,0.450333333,0.461666667
5,0.477333333,0.121,0.274333333,0.263,0.254,0.234666667,0.481333333,0.44,0.457666667,0.488,0.426666667,0.452,0.462
6,0.474666667,0.120666667,0.268,0.256333333,0.248333333,0.228666667,0.48,0.429,0.457,0.489333333,0.432,0.454,0.461
7,0.471333333,0.121333333,0.263666667,0.250333333,0.242333333,0.222,0.476,0.433666667,0.457,0.486666667,0.424,0.446666667,0.462666667
8,0.475333333,0.121666667,0.260666667,0.245666667,0.238333333,0.219,0.470333333,0.432666667,0.461,0.487,0.424,0.453333333,0.46
9,0.473,0.120333333,0.253333333,0.240333333,0.233333333,0.211333333,0.471333333,0.424333333,0.459,0.487,0.426333333,0.453666667,0.461
10,0.473666667,0.121,0.249666667,0.235666667,0.232,0.207333333,0.469333333,0.427333333,0.455,0.483666667,0.421333333,0.446666667,0.458666667
11,0.472333333,0.120333333,0.243333333,0.23,0.229,0.201333333,0.467333333,0.421333333,0.454333333,0.482666667,0.422333333,0.442333333,0.455
12,0.473,0.120333333,0.240666667,0.225333333,0.225333333,0.197333333,0.468666667,0.421333333,0.450666667,0.481333333,0.419666667,0.444333333,0.456666667
13,0.472666667,0.120333333,0.233666667,0.22,0.219333333,0.192666667,0.454666667,0.424666667,0.448,0.480333333,0.419333333,0.441666667,0.459
14,0.471333333,0.12,0.229666667,0.216666667,0.214666667,0.187,0.460333333,0.419,0.444333333,0.482,0.417333333,0.438333333,0.465
15,0.475,0.121,0.224,0.211,0.213333333,0.183,0.462,0.421333333,0.453,0.483,0.418,0.443,0.456333333
16,0.473,0.120333333,0.219,0.208,0.209,0.179333333,0.463666667,0.422333333,0.448,0.483333333,0.418666667,0.441333333,0.454
17,0.471333333,0.120666667,0.217666667,0.205333333,0.204666667,0.175666667,0.456333333,0.422333333,0.446666667,0.482,0.412666667,0.442666667,0.463
18,0.473,0.120333333,0.212666667,0.2,0.199,0.171,0.458666667,0.417666667,0.451,0.477,0.413,0.434333333,0.451333333
19,0.472666667,0.12,0.208666667,0.195666667,0.195333333,0.167,0.464333333,0.417333333,0.447,0.48,0.414333333,0.435,0.464
20,0.471666667,0.119,0.202333333,0.19,0.191666667,0.161,0.463333333,0.417,0.445666667,0.476333333,0.409,0.432333333,0.451666667
21,0.474,0.120666667,0.201666667,0.187666667,0.191,0.160666667,0.466,0.42,0.444666667,0.474,0.408666667,0.430333333,0.451666667
22,0.473666667,0.12,0.196666667,0.182,0.186333333,0.154666667,0.462,0.419,0.442,0.471333333,0.405333333,0.427666667,0.450333333
23,0.470666667,0.118666667,0.194,0.179666667,0.183333333,0.151666667,0.464666667,0.416666667,0.435,0.469666667,0.406333333,0.426666667,0.453666667
24,0.475333333,0.120333333,0.189,0.177,0.18,0.160333333,0.464,0.417666667,0.440333333,0.469,0.405333333,0.426,0.451666667
25,0.47,0.118666667,0.185,0.172666667,0.176666667,0.146333333,0.457666667,0.416,0.437666667,0.468,0.405333333,0.421666667,0.456666667
26,0.469666667,0.119,0.184,0.17,0.173333333,0.142666667,0.46,0.421666667,0.434666667,0.464666667,0.403666667,0.418666667,0.451
27,0.471333333,0.120333333,0.184333333,0.167666667,0.171,0.143,0.458,0.423666667,0.437666667,0.469,0.403666667,0.423333333,0.458333333
28,0.470333333,0.120333333,0.184,0.164666667,0.165333333,0.138,0.457333333,0.429666667,0.434333333,0.466666667,0.402333333,0.418333333,0.456
29,0.47,0.12,0.177666667,0.161333333,0.163333333,0.136333333,0.458,0.426333333,0.434666667,0.465666667,0.401666667,0.419333333,0.450333333
30,0.471,0.12,0.177333333,0.157333333,0.173,0.133,0.456,0.429333333,0.434666667,0.464333333,0.400666667,0.419333333,0.461666667
31,0.470333333,0.12,0.174333333,0.154666667,0.16,0.131,0.454,0.432333333,0.432,0.462333333,0.4,0.416333333,0.459333333
32,0.468333333,0.117333333,0.174666667,0.150666667,0.156666667,0.128,0.452666667,0.431,0.431,0.459,0.396,0.413,0.45
33,0.470333333,0.119666667,0.170333333,0.148,0.155333333,0.127333333,0.453333333,0.432666667,0.430666667,0.463666667,0.398333333,0.416333333,0.459
34,0.47,0.12,0.163666667,0.148,0.150666667,0.127,0.454333333,0.426666667,0.431,0.459333333,0.395,0.414,0.459333333
35,0.471666667,0.12,0.163666667,0.145333333,0.148333333,0.123666667,0.451,0.427,0.427666667,0.461333333,0.395333333,0.411,0.452
36,0.469333333,0.119333333,0.164333333,0.142666667,0.146666667,0.125,0.452333333,0.427666667,0.43,0.458666667,0.395666667,0.412333333,0.448
37,0.471,0.119666667,0.160666667,0.140333333,0.142333333,0.12,0.452,0.427333333,0.431,0.459333333,0.395666667,0.410666667,0.457666667
38,0.470333333,0.120333333,0.155666667,0.138666667,0.140666667,0.119,0.452666667,0.423,0.428,0.458666667,0.395666667,0.413,0.450666667
39,0.467666667,0.119,0.152666667,0.136,0.14,0.115333333,0.449333333,0.424,0.429,0.455333333,0.391333333,0.409333333,0.463666667
40,0.468666667,0.119,0.148333333,0.133333333,0.132666667,0.115333333,0.450333333,0.417,0.428666667,0.459333333,0.391333333,0.409333333,0.452666667
41,0.468,0.120333333,0.144,0.131666667,0.135333333,0.116,0.451,0.423333333,0.426666667,0.46,0.390333333,0.407333333,0.451666667
42,0.469333333,0.12,0.142,0.130666667,0.132,0.116,0.452666667,0.421,0.426333333,0.460666667,0.39,0.409333333,0.455666667
43,0.467666667,0.12,0.143666667,0.128333333,0.13,0.114666667,0.449666667,0.422666667,0.426,0.456333333,0.388666667,0.404333333,0.457
44,0.467666667,0.119333333,0.142,0.126666667,0.127333333,0.112333333,0.443666667,0.416666667,0.419333333,0.46,0.388,0.407,0.456333333
45,0.47,0.119,0.145,0.127,0.126,0.112333333,0.449,0.421666667,0.426,0.462333333,0.39,0.407666667,0.448333333
46,0.467,0.118,0.144333333,0.125333333,0.125,0.111,0.446,0.419333333,0.419666667,0.46,0.386666667,0.406,0.445
47,0.466,0.118666667,0.143,0.126,0.124,0.111333333,0.447666667,0.419333333,0.422333333,0.458333333,0.387333333,0.404,0.460333333
48,0.466333333,0.119333333,0.141666667,0.123666667,0.123666667,0.111666667,0.447,0.415,0.42,0.459666667,0.388,0.407,0.446
49,0.467666667,0.12,0.139,0.124333333,0.122333333,0.112333333,0.444,0.417333333,0.418666667,0.461333333,0.384333333,0.403333333,0.462
50,0.467666667,0.119,0.137666667,0.122333333,0.121666667,0.113666667,0.444,0.416,0.416,0.46,0.386333333,0.402666667,0.457
51,0.468,0.119333333,0.137,0.123,0.119666667,0.112333333,0.443,0.416333333,0.418,0.464,0.384333333,0.402,0.455
52,0.468,0.119333333,0.134666667,0.120333333,0.121666667,0.111333333,0.442333333,0.417333333,0.418666667,0.467666667,0.381666667,0.400666667,0.448666667
53,0.469,0.118,0.131333333,0.120666667,0.118333333,0.112333333,0.440666667,0.415333333,0.418,0.461666667,0.383333333,0.397333333,0.449
54,0.470666667,0.119333333,0.133666667,0.122333333,0.120333333,0.114,0.442333333,0.415666667,0.419666667,0.468333333,0.382666667,0.4,0.456666667
55,0.467,0.119,0.137,0.121333333,0.116666667,0.115666667,0.443,0.411666667,0.417666667,0.469,0.383666667,0.399,0.457666667
56,0.467333333,0.118666667,0.131666667,0.120666667,0.117,0.112,0.439666667,0.403666667,0.417333333,0.468,0.379666667,0.396666667,0.454333333
57,0.471333333,0.119,0.128666667,0.121333333,0.12,0.124,0.444,0.393666667,0.419,0.469,0.384666667,0.397333333,0.446666667
58,0.469,0.119333333,0.132666667,0.120666667,0.119,0.113666667,0.44,0.387666667,0.415333333,0.470333333,0.382,0.397666667,0.454
59,0.468333333,0.118333333,0.130333333,0.119666667,0.12,0.112666667,0.440333333,0.389,0.416333333,0.466,0.379666667,0.395333333,0.442
