Time,No Protein,No NADH,pH 3.0,pH 4.0,pH 5.0,pH 6.0,pH 6.5,pH 7.0,pH 7.5,pH 8.0,pH 8.5
0,0.51767,0.10167,0.26567,0.39267,0.46233,0.39700,0.38533,0.46167,0.51333,0.51367,0.47033
1,0.51333,0.11100,0.25600,0.38200,0.45700,0.39167,0.37800,0.46067,0.51100,0.50933,0.43367
2,0.51367,0.13267,0.25400,0.37500,0.45600,0.38467,0.37300,0.45867,0.50933,0.50633,0.43400
3,0.51367,0.11700,0.24500,0.36767,0.44700,0.38167,0.36833,0.46833,0.50767,0.50267,0.43400
4,0.51167,0.11867,0.22933,0.35900,0.45167,0.37300,0.36200,0.45800,0.50367,0.49867,0.43233
5,0.51133,0.11767,0.21933,0.34933,0.43833,0.36667,0.35500,0.45000,0.50100,0.49467,0.42867
6,0.51367,0.11633,0.21400,0.34233,0.44100,0.36300,0.34800,0.44700,0.49867,0.49367,0.42733
7,0.51033,0.11567,0.20700,0.33467,0.43333,0.35700,0.34200,0.44600,0.49733,0.49300,0.42633
8,0.51200,0.11800,0.20100,0.32700,0.44200,0.35100,0.33700,0.44400,0.50233,0.49067,0.42333
9,0.51833,0.11767,0.19600,0.32200,0.42967,0.34833,0.33833,0.44300,0.50000,0.49267,0.42333
10,0.51300,0.12200,0.19233,0.31633,0.42367,0.34567,0.33367,0.43800,0.49633,0.48833,0.42133
11,0.51300,0.12367,0.18900,0.30967,0.43500,0.34233,0.32100,0.43667,0.49267,0.48167,0.41867
12,0.51800,0.12700,0.18567,0.30433,0.42733,0.33867,0.31900,0.43567,0.49133,0.48100,0.41667
13,0.51467,0.12600,0.18200,0.29933,0.42733,0.33533,0.31300,0.43100,0.48700,0.47667,0.41500
14,0.51533,0.12800,0.17833,0.29300,0.42533,0.33133,0.30833,0.42733,0.48900,0.47467,0.41200
15,0.50700,0.13133,0.17467,0.28733,0.41533,0.32533,0.30267,0.42600,0.48700,0.47067,0.40933
16,0.51133,0.12733,0.17167,0.28367,0.41100,0.31733,0.29933,0.42367,0.48500,0.46100,0.40700
17,0.50900,0.12767,0.16967,0.27867,0.41900,0.31500,0.29600,0.43233,0.48233,0.45633,0.40633
18,0.51333,0.12867,0.16833,0.27567,0.39967,0.31333,0.29267,0.42000,0.47700,0.45400,0.40533
19,0.50733,0.12867,0.16533,0.26833,0.40400,0.30700,0.28700,0.44933,0.47233,0.45067,0.40200
20,0.51367,0.12600,0.16367,0.26433,0.39833,0.30267,0.28133,0.43700,0.46967,0.44900,0.39933
21,0.50700,0.12900,0.16267,0.26300,0.40333,0.30067,0.27933,0.42000,0.46800,0.44967,0.39833
22,0.50767,0.12667,0.16233,0.26033,0.39300,0.29867,0.27667,0.42000,0.47100,0.44900,0.39733
23,0.50700,0.13000,0.16067,0.25600,0.38967,0.29367,0.27233,0.40100,0.47467,0.44500,0.39500
24,0.51333,0.13133,0.16033,0.25100,0.38933,0.28967,0.26800,0.40033,0.46500,0.44733,0.39333
25,0.50833,0.14633,0.15833,0.24633,0.38233,0.28700,0.26500,0.39733,0.46200,0.44900,0.39133
26,0.51000,0.14867,0.15867,0.24433,0.38233,0.28367,0.26267,0.39533,0.45933,0.44600,0.39100
27,0.50567,0.14833,0.15733,0.24067,0.37933,0.28033,0.25933,0.39300,0.45533,0.44467,0.38867
28,0.51067,0.13767,0.15500,0.23700,0.38567,0.27700,0.25400,0.39167,0.45333,0.43933,0.38500
29,0.50367,0.13133,0.15533,0.23467,0.38100,0.27267,0.25100,0.38833,0.46367,0.43467,0.38333
30,0.50733,0.13267,0.15567,0.23167,0.38500,0.27000,0.24700,0.38733,0.45133,0.42800,0.38267
31,0.50400,0.13933,0.16533,0.22933,0.38433,0.26800,0.24433,0.38467,0.45367,0.42533,0.38100
32,0.50933,0.14100,0.16933,0.22633,0.37467,0.26267,0.23867,0.39100,0.45700,0.42167,0.37900
33,0.50933,0.15800,0.15467,0.22633,0.36933,0.26267,0.23667,0.38900,0.45433,0.42067,0.37900
34,0.50867,0.16267,0.15433,0.22433,0.36700,0.25833,0.23467,0.37500,0.45200,0.41367,0.37533
35,0.50300,0.15767,0.15567,0.22600,0.36800,0.25800,0.23067,0.37433,0.45500,0.41500,0.37433
36,0.51067,0.14633,0.15433,0.22467,0.37033,0.25267,0.22667,0.37100,0.46600,0.42167,0.37233
37,0.50633,0.14133,0.15333,0.22467,0.37967,0.24967,0.22500,0.37600,0.45133,0.42433,0.37033
38,0.51133,0.13300,0.15233,0.22333,0.38333,0.24800,0.22167,0.37667,0.45967,0.42833,0.36967
39,0.50400,0.12933,0.15000,0.21900,0.38900,0.24300,0.21700,0.37600,0.45467,0.42900,0.36600
40,0.51200,0.12900,0.15167,0.21633,0.35433,0.24200,0.21700,0.37800,0.44900,0.42900,0.36667
41,0.50600,0.13167,0.15033,0.21400,0.36467,0.24000,0.21367,0.39933,0.44333,0.42467,0.36433
42,0.50567,0.12933,0.14867,0.20933,0.36933,0.23633,0.20900,0.36167,0.44567,0.41400,0.36167
43,0.51233,0.13467,0.15033,0.20967,0.36300,0.23600,0.20833,0.36767,0.43400,0.42433,0.36067
44,0.50400,0.13533,0.14867,0.20467,0.34467,0.23033,0.20367,0.36633,0.43133,0.41633,0.35833
45,0.50667,0.13700,0.14933,0.20033,0.34633,0.23033,0.20033,0.36033,0.42567,0.41900,0.35633
46,0.50133,0.14100,0.14900,0.20200,0.34033,0.22900,0.19700,0.35667,0.42233,0.42033,0.35567
47,0.50633,0.13633,0.15400,0.20033,0.33667,0.22333,0.19333,0.35733,0.42933,0.41233,0.35400
48,0.50267,0.13600,0.14900,0.20000,0.33800,0.22633,0.19200,0.34467,0.42567,0.40833,0.35167
49,0.50900,0.13400,0.14867,0.20400,0.33900,0.22633,0.18933,0.34167,0.42567,0.39867,0.35033
50,0.50200,0.13167,0.14867,0.20133,0.33867,0.22500,0.18533,0.33900,0.42633,0.39067,0.34967
51,0.50933,0.13467,0.14900,0.19700,0.34200,0.21933,0.18367,0.33733,0.43167,0.38633,0.34733
52,0.50300,0.13200,0.14933,0.19267,0.34633,0.21500,0.18233,0.37033,0.42700,0.38300,0.34700
53,0.50500,0.13867,0.14933,0.18833,0.36233,0.21633,0.17800,0.37267,0.42167,0.37333,0.34433
54,0.50133,0.13733,0.14967,0.18967,0.34133,0.21667,0.17767,0.37100,0.42067,0.37167,0.34433
55,0.50733,0.14067,0.14867,0.18667,0.32533,0.21267,0.17500,0.36867,0.41567,0.37033,0.34067
56,0.50467,0.13633,0.14867,0.18267,0.32400,0.21000,0.17300,0.36600,0.41500,0.37067,0.33900
57,0.50600,0.13400,0.14767,0.18267,0.32267,0.20800,0.17233,0.36500,0.41667,0.36700,0.33767
58,0.50033,0.13967,0.14967,0.18100,0.36033,0.20700,0.16967,0.36333,0.42133,0.36600,0.33733
59,0.50600,0.13600,0.14800,0.17933,0.33433,0.20167,0.16800,0.36233,0.42133,0.36133,0.33467
